,material_id,band_gap,is_gap_direct,symmetry.crystal_system
331,mp-569052,1.396399999999999,False,orthorhombic
332,mp-10809,0.405599999999999,False,triclinic
333,mp-568761,0.2411,False,orthorhombic
334,mp-570431,1.0025,False,orthorhombic
335,mp-559562,2.0214,False,orthorhombic
336,mp-558637,1.6662,False,monoclinic
337,mp-559257,1.5732,False,monoclinic
338,mp-561489,1.1676,False,monoclinic
339,mp-29718,2.6891,False,monoclinic
340,mp-28586,1.2006000000000001,False,tetragonal
341,mp-1198361,1.4598,True,hexagonal
342,mp-1188939,2.5052,False,trigonal
343,mp-27540,5.009,False,monoclinic
344,mp-560196,5.2187,True,monoclinic
345,mp-560572,5.2041,False,monoclinic
346,mp-985293,5.8109,False,orthorhombic
347,mp-672352,1.7285,True,monoclinic
348,mp-555903,3.346599999999999,False,hexagonal
349,mp-554868,0.11040000000000001,False,trigonal
350,mp-1019377,5.9631,False,monoclinic
351,mp-14011,5.712400000000001,True,cubic
352,mp-540549,5.8053,False,monoclinic
353,mp-559996,5.5151,False,trigonal
354,mp-683984,1.1219000000000001,False,orthorhombic
355,mp-574529,1.4066,True,orthorhombic
356,mp-731836,0.009300000000000001,True,monoclinic
357,mp-726892,0.3647,False,monoclinic
358,mp-732264,3.0304,False,triclinic
359,mp-540628,1.3271,True,orthorhombic
360,mp-28790,3.1285,False,monoclinic
361,mp-706657,4.3438,False,cubic
362,mp-29110,0.230299999999999,True,triclinic
363,mp-19521,3.7134,False,orthorhombic
364,mp-559796,3.7649,False,monoclinic
365,mp-1193708,2.2406,True,monoclinic
366,mp-4417,6.0272,False,trigonal
367,mp-1182999,4.5346,False,monoclinic
368,mp-19516,4.6158,False,orthorhombic
369,mp-542093,4.5354,False,monoclinic
370,mp-1194539,1.9031999999999991,True,hexagonal
371,mp-572634,3.441,True,orthorhombic
372,mp-1199198,5.5664,False,orthorhombic
373,mp-1197319,1.185,False,monoclinic
374,mp-1204779,1.3157,True,monoclinic
375,mp-557737,2.6364,False,tetragonal
376,mp-571623,2.2404,False,tetragonal
377,mp-14047,3.1407,False,cubic
